id,intentos
aapp-00031-2016,2
aapp-00046-2016,1
aapp-00047-2016,1
aapp-00052-2016,1
e-00453-2016,1
e-00583-2016,1
e-00585-2016,1
e-00600-2016,1
e-00809-2016,1
e-01062-2016,1
e-01069-2016,1
e-01103-2016,1
e-01160-2016,1
e-01185-2016,1
e-01227-2016,1
e-01628-2016,1
e-01651-2016,1
e-01674-2016,1
e-01695-2016,1
e-01704-2016,1
e-01765-2016,1
e-01792-2016,1
e-01965-2016,2
e-02640-2016,2
e-04503-2016,1
e-04564-2016,1
e-04772-2016,1
e-06393-2016,1
e-06998-2016,1
e-07095-2016,1
ejecucion-presupuesto-gastos-aepd-2016,1
informe-cumplimiento-2015-2016,1
memoria-aepd-2016,3
objetivos-e-indicadores-aepd-2016,3
presupuestos-aepd-2016,3
ps-00182-2016,2
ps-00200-2016,1
ps-00232-2016,1
ps-00239-2016,1
ps-00242-2016,1
ps-00325-2016,2
ps-00335-2016,2
ps-00353-2016,2
ps-00367-2016,2
ps-00417-2016,2
ps-00598-2016,1
ps-00605-2016,1
reposicion-00070-2016,1
reposicion-00076-2016,1
reposicion-e-00583-2016,1
reposicion-e-02640-2016,1
reposicion-e-04529-2016,1
reposicion-e-04986-2016,1
e-01415-2017,1
e-01769-2017,1
e-01864-2017,1
e-01887-2017,1
e-01903-2017,1
e-01918-2017,1
e-01943-2017,1
e-02046-2017,1
e-02447-2017,1
e-02457-2017,1
e-03220-2017,1
e-03308-2017,1
e-03336-2017,1
e-03385-2017,1
e-03392-2017,1
e-03971-2017,1
e-04086-2017,1
e-07119-2017,2
e-07195-2017,1
e-07222-2017,1
e-07227-2017,1
ejecucion-presupuesto-gastos-aepd-2017,1
graficos-de-cumplimiento-2017,3
memoria-aepd-2017,3
objetivos-e-indicadores-aepd-2017,3
ps-00013-2017,2
ps-00045-2017,2
ps-00054-2017,2
ps-00075-2017,2
ps-00082-2017,2
ps-00088-2017,1
ps-00116-2017,2
ps-00134-2017,2
ps-00138-2017,2
ps-00220-2017,1
ps-00226-2017,1
ps-00239-2017,1
ps-00270-2017,1
ps-00271-2017,1
ps-00274-2017,1
ps-00286-2017,2
ps-00297-2017,2
ps-00302-2017,2
ps-00306-2017,1
ps-00308-2017,2
ps-00340-2017,1
ps-00366-2017,1
ps-00377-2017,1
ps-00613-2017,1
reposicion-00207-2017,1
reposicion-00236-2017,1
reposicion-00319-2017,1
reposicion-e-00352-2017,1
reposicion-e-01011-2017,1
e-00465-2018,1
e-00659-2018,1
e-00859-2018,1
e-00959-2018,2
e-01053-2018,2
e-01126-2018,2
e-01139-2018,2
e-01144-2018,2
e-01186-2018,2
e-01432-2018,1
e-01472-2018,2
e-01475-2018,2
e-01559-2018,2
e-01568-2018,2
e-01746-2018,2
e-01823-2018,1
e-02201-2018,1
e-02223-2018,2
e-02318-2018,2
e-02372-2018,2
e-02384-2018,2
e-02402-2018,1
e-02495-2018,1
e-02525-2018,1
e-02563-2018,1
e-02793-2018,1
e-02798-2018,1
e-02801-2018,1
e-02825-2018,1
e-02943-2018,1
e-02944-2018,1
e-02945-2018,1
e-02985-2018,1
e-03003-2018,1
e-10392-2018,1
e-10396-2018,1
infografia-memoria-aepd-2018,3
informe-brechas-2018,1
informe-tcu-fiscalizacion-sanciones-2017-2018,1
ley-organica-3-2018,3
objetivos-e-indicadores-aepd-2018,3
presupuestos-aepd-2018,3
ps-00337-2018,1
ps-00340-2018,1
ps-00342-2018,1
ps-00348-2018,1
ps-00353-2018,1
ps-00355-2018,1
ps-00358-2018,1
ps-00389-2018,1
ps-00390-2018,1
ps-00422-2018,1
reposicion-td-00228-2018,1
reposicion-td-00246-2018,1
reposicion-td-01270-2018,1
td-00144-2018,1
td-00215-2018,1
td-00216-2018,1
td-00774-2018,1
td-00819-2018,1
td-00832-2018,1
td-00881-2018,1
codigo-con-ducta-farmaindustria-cc-0007-2019,3
e-00691-2019,1
e-00695-2019,1
e-00702-2019,1
e-00730-2019,1
e-00860-2019,1
e-00866-2019,1
e-01824-2019,1
e-02009-2019,1
e-02043-2019,1
e-02245-2019,1
e-02249-2019,1
e-02252-2019,1
e-07214-2019,1
e-07248-2019,1
e-07272-2019,1
e-09473-2019,1
e-09580-2019,1
e-09587-2019,1
e-10093-2019,1
e-10250-2019,1
e-10314-2019,1
e-10376-2019,3
e-11467-2019,3
e-11883-2019,2
e-11884-2019,1
e-11935-2019,1
e-11949-2019,1
e-11986-2019,1
e-12007-2019,1
e-12088-2019,1
ps-000114-2019,3
ps-00024-2019,1
ps-00035-2019,1
ps-00036-2019,1
ps-00037-2019,1
ps-00038-2019,1
ps-000422-2019,3
ps-000450-2019,3
ps-00058-2019,3
ps-00072-2019,1
ps-00078-2019,1
ps-00079-2019,1
ps-00082-2019,1
ps-00083-2019,1
ps-00152-2019,1
ps-00159-2019,1
ps-00160-2019,1
ps-00379-2019,1
ps-00380-2019,1
ps-00381-2019,1
ps-00385-2019,1
ps-00388-2019,1
ps-00389-2019,1
ps-00421-2019,1
ps-00423-2019,1
ps-00430-2019,1
